nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.0;5.24;4.224;1.016;0.0;1;0.0;0.0;1.0
1500;0.0;4.059;3.184;0.875;0.0;1;0.0;0.0;1.0
1500;0.0;4.138;3.184;0.954;0.0;1;0.0;0.0;1.0
1500;0.0;3.5999999999999996;2.719;0.881;0.0;1;0.0;0.0;1.0
1500;0.016;3.5;2.734;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.515;2.734;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.5;2.735;0.765;0.0;1;0.0;0.0;1.0
1500;0.016;3.503;2.737;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;4.498;3.716;0.782;0.0;1;0.0;0.0;1.0
1500;0.0;4.689;3.908;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;4.156;3.359;0.797;0.0;1;0.0;0.0;1.0
1500;0.015;3.9690000000000003;3.188;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.845;3.063;0.782;0.0;1;0.0;0.0;1.0
1500;0.0;3.7350000000000003;2.938;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;3.515;2.734;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.485;2.719;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.501;2.731;0.77;0.0;1;0.0;0.0;1.0
1500;0.0;3.503;2.722;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.531;2.734;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;3.6830000000000003;2.89;0.793;0.0;1;0.0;0.0;1.0
1500;0.0;3.702;2.921;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.563;2.797;0.766;0.0;1;0.0;0.0;1.0
1500;0.015;3.702;2.89;0.812;0.0;1;0.0;0.0;1.0
1500;0.0;3.547;2.766;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.672;2.906;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.532;2.735;0.797;0.0;1;0.0;0.0;1.0
1500;0.016;3.476;2.726;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.617;2.836;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;3.501;2.719;0.782;0.0;1;0.0;0.0;1.0
1500;0.0;3.702;2.734;0.968;0.0;1;0.0;0.0;1.0
1500;0.0;3.547;2.75;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;3.5;2.75;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.5;2.75;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.484;2.734;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.484;2.734;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.468;2.718;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.745;2.995;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;3.499;2.733;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.485;2.719;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.761;2.719;1.042;0.0;1;0.0;0.0;1.0
